code,lat,lon,elev,state,name,x,y
USC00345779,35.505,-96.9772,281.9,OK,MEEKER 5 W,222,83
USC00346130,35.7781,-95.3339,157.9,OK,MUSKOGEE,235,85
USC00346139,36.2283,-99.17,576.1,OK,MUTUAL,204,88
USC00346278,36.8914,-97.0586,347.5,OK,NEWKIRK 1NW,221,94
USC00346629,36.1217,-98.315,370.3,OK,OKEENE,211,87
USC00346638,35.4253,-96.3033,285,OK,OKEMAH,227,82
USC00346935,36.6692,-96.3472,254.5,OK,PAWHUSKA,227,92
USC00347862,35.4572,-94.8047,201.2,OK,SALLISAW 2 NW,239,82
USC00348042,35.2317,-96.6531,279.8,OK,SEMINOLE,224,80
USC00348380,36.3894,-95.0597,208.8,OK,SPAVINAW,237,90
USC00348501,36.1175,-97.095,272.8,OK,STILLWATER 2 W,221,87
USC00348708,36.0381,-98.9592,519.7,OK,TALOGA,206,87
USC00349023,34.6147,-95.2803,182.9,OK,TUSKAHOMA,235,75
USC00349364,35.8578,-98.4139,466.3,OK,WATONGA,210,85
USC00349395,34.1747,-97.9964,278,OK,WAURIKA,214,72
USC00349404,36.5758,-98.8797,459.6,OK,WAYNOKA,206,91
USC00349422,35.52,-98.6986,493.2,OK,WEATHERFORD,208,83
USC00349629,34.7325,-98.7125,507.5,OK,WICHITA MTN WR,208,76
USC00350197,44.8197,-120.753,923.5,OR,ANTELOPE 6 SSW,31,157
USC00350304,42.2128,-122.714,532.2,OR,ASHLAND,16,136
USC00350471,43.1497,-124.402,6.1,OR,BANDON 2 NNE,2,144
USC00350501,43.9456,-120.217,1210.1,OR,BARNES STN,36,150
USC00350694,44.0567,-121.285,1115.6,OR,BEND,27,151
USC00350858,45.8472,-119.693,85.3,OR,BOARDMAN,40,165
USC00350897,45.6361,-121.952,18.9,OR,BONNEVILLE DAM,22,164
USC00351067,43.8094,-120.6,1414.3,OR,BROTHERS,33,149
USC00351433,44.3914,-122.481,292.6,OR,CASCADIA,18,154
USC00351448,42.1597,-123.642,419.7,OR,CAVE JUNCTION 1 WNW,8,136
USC00351574,42.7036,-121.995,1274.1,OR,CHILOQUIN 12 NW,22,140
USC00351643,46.1081,-123.206,6.7,OR,CLATSKANIE,12,167
USC00351682,45.205,-123.893,3.7,OR,CLOVERDALE,6,160
USC00351765,45.2325,-120.182,865.6,OR,CONDON,36,160
USC00351836,43.1872,-124.202,7,OR,COQUILLE CITY,4,144
USC00351862,44.6342,-123.19,68.6,OR,CORVALLIS STATE UNIV,12,156
USC00351902,43.7178,-123.058,253.3,OR,COTTAGE GROVE DAM,13,148
USC00351946,42.8967,-122.133,1973.6,OR,CRATER LAKE NPS HQ,20,142
USC00352292,44.7242,-122.255,371.9,OR,DETROIT DAM,19,156
USC00352374,43.7819,-122.963,249.9,OR,DORENA,14,149
USC00352406,43.6656,-123.327,89,OR,DRAIN,11,148
USC00352415,43.8081,-118.378,1071.4,OR,DREWSEY,50,149
USC00352440,45.4539,-121.13,405.4,OR,DUFUR,28,162
